# tracer: nop
#
# entries-in-buffer/entries-written: 2647/2647   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-36697   [031] ...1. 136276.021842: kvm_tdp_mmu_spte_changed: as id 0 gfn 76 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021842: kvm_tdp_mmu_spte_changed: as id 0 gfn 77 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021843: kvm_tdp_mmu_spte_changed: as id 0 gfn 78 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021844: kvm_tdp_mmu_spte_changed: as id 0 gfn 79 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021845: kvm_tdp_mmu_spte_changed: as id 0 gfn 7a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021845: kvm_tdp_mmu_spte_changed: as id 0 gfn 7b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021846: kvm_tdp_mmu_spte_changed: as id 0 gfn 7c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021847: kvm_tdp_mmu_spte_changed: as id 0 gfn 7d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021848: kvm_tdp_mmu_spte_changed: as id 0 gfn 7e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021849: kvm_tdp_mmu_spte_changed: as id 0 gfn 7f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021849: kvm_tdp_mmu_spte_changed: as id 0 gfn 80 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021850: kvm_tdp_mmu_spte_changed: as id 0 gfn 81 level 1 old_spte 0 new_spte 5a0
